benchmark,motif,default_k,noise_on,seed,metric,metric_name
iris,auxiliary,12.0,True,0,0.9473684210526315,accuracy_test
narma10,auxiliary,12.0,True,0,0.8527083943100292,nrmse_test
iris,auxiliary,18.0,True,0,0.9736842105263158,accuracy_test
narma10,auxiliary,18.0,True,0,0.8192087359395259,nrmse_test
