scenario_tag,task,task_encoding,bench_n_train,bench_n_test,bench_washout_macros,bench_hold_ns,log10_sim_budget,latency_euler_steps,motif,default_k,i_min,i_max,spacing_m,spacing_um,noise_on,I_th_A,lambda0_m,dt_ns,store_every,augment_input,metric,metric_name,maximize_metric,replicate_id,run_seed
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,425
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,442
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,459
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,476
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.5,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,493
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,4e-05,40.0,True,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,510
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,4e-05,40.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,527
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,5e-05,50.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,544
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,5e-05,50.0,False,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,561
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,6e-05,60.0,True,0.01735,8.5e-07,0.0005,400,True,0.9565217391304348,accuracy_test,True,0,578
iris_small_test,iris,0,128,22,0,20.0,6.70926996097583,5120000,auxiliary,8.0,0.5,1.7,6e-05,60.0,False,0.01735,8.5e-07,0.0005,400,True,1.0,accuracy_test,True,0,595
