,default_k,noise_int,motif_code,metric
default_k,1.0,0.0,0.09809160889641777,-0.09771840728550857
noise_int,0.0,1.0,0.0,0.0
motif_code,0.09809160889641777,0.0,1.0,-0.08237221878401321
metric,-0.09771840728550857,0.0,-0.08237221878401321,1.0
