,default_k,noise_int,motif_code,metric
default_k,1.0,-3.4851655257641626e-17,0.09130823152911526,-0.09471018970870611
noise_int,-3.4851655257641626e-17,1.0,0.10061677063583062,0.0580112412764003
motif_code,0.09130823152911526,0.10061677063583062,1.0,-0.022157586048398577
metric,-0.09471018970870611,0.0580112412764003,-0.022157586048398577,1.0
